CDH1,VIM,ASCL2,TCF4,MYC,CDKN2B,TIMP2,ZEB1
260.3266,137.7711,511.7234,4.084,371.9176,9.4673,119.8176,8.8169
313.0251,59.8677,84.5406,3.4561,218.2255,10.2936,66.2909,5.9055
341.9338,23.6714,75.8929,0.7712,72.4485,1.934,25.3849,1.252
180.5406,118.4151,191.7345,1.8974,131.8439,5.8371,90.6765,3.331
232.6892,46.8597,189.7292,1.9854,172.6162,3.58,71.3397,2.8557
463.423,93.0744,136.702,3.7298,164.1984,29.0315,127.042,6.4657
283.4084,85.9248,600.2308,2.1682,191.0123,5.9486,93.3271,4.357
236.6725,51.7825,503.0598,1.1269,237.5299,10.3834,52.0372,1.5199
355.073,372.6454,126.4422,9.7361,158.3887,16.8814,470.9623,18.6119
170.1678,245.4607,1.4397,41.0776,75.0341,18.1088,180.3033,53.0697
338.2931,66.409,545.3817,2.07,381.945,20.3816,53.5893,3.5662
274.3892,63.0957,416.114,0.8982,223.5618,6.4909,42.3923,1.1979
496.077,103.2687,15.8844,3.0134,27.1237,144.1535,85.131,4.4625
264.3691,113.8578,469.5345,2.0716,293.421,13.9862,87.3046,3.1349
299.5641,108.6083,119.3113,1.2216,59.6911,8.617,65.1959,1.3203
279.7849,24.3466,59.8334,0.7662,64.1262,6.248,14.4839,0.9478
357.4841,60.5722,147.8665,1.5844,95.1369,14.2274,50.356,2.2331
360.6937,228.593,85.6409,10.3591,200.3501,30.1188,293.831,23.3285
269.449,80.9639,226.3173,2.2599,279.3141,5.1583,59.3313,4.0949
354.3809,220.2859,247.486,7.2483,218.1381,10.6135,201.6188,21.8404
229.4065,158.0223,12.8264,33.057,71.7782,21.066,108.1608,57.1317
660.9152,38.7856,192.714,2.0653,145.2662,22.025,19.9663,2.9024
426.4218,90.475,400.7817,4.4104,181.3142,14.1528,106.3095,9.1065
376.89,89.4058,20.3715,5.6534,35.3551,90.7793,90.5189,6.144
327.8668,90.2803,499.5558,2.315,172.002,5.8253,38.1762,4.3166
354.6566,255.8904,214.1633,11.1319,176.6596,19.1015,380.3479,16.9428
508.1825,163.3937,187.1367,6.9707,288.1666,13.5599,223.2872,11.689
330.4416,36.0528,306.2239,0.5088,143.9265,1.5607,16.1462,0.866
232.8029,24.3186,108.1183,0.4972,63.7148,1.5169,13.056,1.0298
231.4936,44.3594,169.9096,1.6465,85.6131,3.5604,40.3617,2.6608
